馬券タイプ,賭ける馬の人気,賭けた回数,当たり回数,収益
三連複,4 - 10 - 18,3183,1,941810
三連単,2 → 10 → 8,34001,17,941320
三連単,1 → 15 → 2,21086,16,939000
三連単,9 → 12 → 5,30498,3,933070
三連単,6 → 2 → 11,32468,11,929070
三連複,2 - 14 - 16,17001,3,917680
三連単,4 → 13 → 15,21069,1,915020
三連単,10 → 1 → 11,32464,6,910580
三連単,14 → 3 → 4,24774,2,909550
三連単,5 → 13 → 15,21067,1,908410
三連単,3 → 2 → 12,30510,21,901690
三連複,3 - 11 - 12,31585,14,899610
三連単,12 → 5 → 6,30502,2,894230
三連単,12 → 5 → 9,30498,3,883360
三連単,1 → 12 → 10,30500,11,881750
三連単,3 → 7 → 4,35887,35,880890
三連単,5 → 9 → 6,35055,13,878320
三連単,6 → 7 → 8,35649,7,872530
三連単,6 → 9 → 15,21078,1,871240
三連複,4 - 6 - 16,17025,5,867130
三連単,14 → 13 → 16,16397,1,858670
三連単,10 → 4 → 8,34001,10,854040
三連単,10 → 3 → 8,34002,3,845630
三連単,6 → 15 → 5,21081,1,838640
三連単,3 → 5 → 14,24773,7,837570
三連単,2 → 7 → 12,30506,10,837040
三連単,5 → 4 → 14,24772,3,834890
三連単,8 → 17 → 2,3827,1,831090
三連単,2 → 4 → 18,3100,2,829980
三連単,13 → 11 → 12,27741,1,826800
三連単,7 → 4 → 12,30506,4,810190
三連単,5 → 15 → 2,21084,2,807460
三連単,5 → 11 → 7,32468,4,804160
三連単,4 → 13 → 8,27760,3,804030
三連単,11 → 9 → 13,27749,1,789840
三連単,7 → 2 → 12,30506,8,788130
三連単,1 → 10 → 12,30500,9,787030
三連単,9 → 7 → 16,16429,2,785240
三連単,5 → 9 → 11,32462,5,784300
三連単,7 → 17 → 1,3826,1,772660
三連単,11 → 2 → 7,32470,8,767270
三連単,13 → 3 → 2,27771,3,767240
三連単,9 → 8 → 11,32454,1,767140
三連単,9 → 15 → 8,21074,1,758160
三連複,6 - 8 - 18,3184,1,755220
三連単,8 → 9 → 10,33992,3,751930
三連単,6 → 1 → 12,30505,16,749880
三連単,15 → 9 → 2,21081,1,747230
三連単,8 → 11 → 5,32461,6,745330
三連単,2 → 13 → 1,27771,18,745000
三連複,9 - 11 - 15,21842,2,744250
三連複,6 - 14 - 17,3922,1,732510
三連単,12 → 6 → 13,27750,1,730540
三連単,14 → 7 → 6,24766,1,725410
三連単,9 → 2 → 14,24766,4,718920
三連単,3 → 10 → 18,3099,1,717670
三連単,1 → 10 → 6,34007,38,712640
三連単,8 → 5 → 1,35657,28,711170
馬単,11 → 12,31585,12,710180
三連単,14 → 8 → 2,24764,2,701760
三連単,12 → 3 → 16,16424,1,695570
三連単,10 → 6 → 12,30494,2,692410
三連単,1 → 9 → 17,3826,2,691660
三連複,9 - 12 - 14,25656,4,683010
三連単,3 → 7 → 10,34009,16,679660
三連単,6 → 16 → 7,16429,1,678850
三連単,6 → 11 → 4,32468,5,676650
三連単,15 → 4 → 2,21086,2,675580
三連単,6 → 12 → 7,30501,2,671710
三連単,8 → 13 → 1,27761,3,671180
三連単,4 → 17 → 1,3827,1,669440
三連単,15 → 10 → 8,21072,1,659250
三連単,10 → 6 → 9,33997,4,658120
三連単,4 → 11 → 10,32463,7,657830
三連単,9 → 1 → 13,27763,3,657620
三連単,7 → 13 → 9,27759,2,657510
三連単,7 → 11 → 6,32465,2,654750
三連単,5 → 2 → 18,3100,1,654710
三連単,7 → 12 → 3,30507,3,653830
三連単,5 → 3 → 9,35061,22,651350
三連複,9 - 10 - 12,31576,8,645810
三連単,2 → 14 → 3,24774,6,645150
三連単,15 → 6 → 9,21078,1,644810
三連単,12 → 3 → 7,30507,4,642000
三連単,12 → 6 → 7,30501,2,641210
三連単,2 → 10 → 9,34002,13,637310
三連単,6 → 9 → 5,35055,7,634820
三連単,6 → 15 → 8,21075,1,631590
三連複,7 - 10 - 17,3931,1,630640
三連単,7 → 9 → 3,35060,12,624190
三連単,7 → 2 → 4,35886,44,616230
三連単,15 → 8 → 3,21079,1,611090
三連単,3 → 15 → 12,21073,1,610050
三連単,7 → 3 → 14,24771,5,609470
三連単,4 → 11 → 9,32464,4,604160
三連単,5 → 12 → 15,21071,1,601930
三連単,3 → 6 → 5,35956,59,593120
馬単,18 → 5,3184,2,592110
三連単,9 → 1 → 12,30501,5,581500
三連単,2 → 10 → 3,34012,33,575570
三連複,5 - 11 - 18,3183,1,574060
三連単,2 → 15 → 5,21084,4,571760
三連単,5 → 12 → 4,30507,8,571750
三連単,3 → 15 → 5,21085,2,568330
三連単,14 → 3 → 10,24767,2,561540
三連単,7 → 2 → 13,27767,4,553690
馬単,7 → 17,3932,4,553540
三連単,5 → 12 → 3,30508,7,545370
三連単,1 → 7 → 12,30507,16,540290
三連単,2 → 4 → 13,27770,14,537680
三連複,6 - 12 - 16,17012,1,530980
三連単,11 → 16 → 4,16431,1,527120
三連単,3 → 6 → 14,24770,5,526380
三連単,7 → 2 → 11,32470,11,525570
三連単,8 → 2 → 13,27760,5,517770
三連単,2 → 3 → 17,3827,2,515830
三連単,9 → 12 → 4,30500,2,512750
三連単,13 → 1 → 14,24753,1,512510
三連単,15 → 1 → 12,21073,1,496040
三連単,2 → 5 → 17,3827,2,493030
三連単,11 → 5 → 1,32472,11,490880
三連単,7 → 2 → 17,3826,1,486920
三連複,2 - 7 - 16,17025,6,485680
三連単,2 → 8 → 13,27760,7,476950
三連単,8 → 4 → 11,32463,4,474310
三連単,5 → 16 → 2,16434,2,472570
三連単,9 → 4 → 12,30500,3,470080
三連単,1 → 9 → 16,16432,4,463150
三連単,2 → 13 → 10,27763,2,455280
三連単,3 → 7 → 9,35060,18,455220
三連単,8 → 2 → 11,32463,3,454370
三連単,1 → 16 → 12,16424,2,450550
三連単,15 → 1 → 5,21085,4,450390
三連単,4 → 12 → 15,21073,1,447750
三連複,3 - 8 - 11,33608,36,447710
三連単,4 → 5 → 8,35656,22,440230
三連単,7 → 14 → 12,24755,1,438060
三連単,1 → 5 → 13,27769,21,434770
三連単,1 → 7 → 13,27768,12,433100
三連単,3 → 18 → 7,3099,1,431010
三連単,4 → 3 → 12,30510,14,430210
三連単,8 → 9 → 5,35050,7,425630
三連単,7 → 3 → 15,21084,2,421970
三連単,5 → 4 → 6,35955,36,416750
三連単,17 → 1 → 4,3827,1,411710
三連単,2 → 16 → 3,16435,2,401810
三連単,4 → 5 → 17,3827,1,397620
三連単,1 → 6 → 14,24770,11,395870
三連単,2 → 14 → 1,24774,7,393580
三連単,1 → 8 → 17,3827,1,391030
三連単,15 → 7 → 4,21084,2,381320
三連単,4 → 2 → 16,16435,4,378900
三連単,8 → 5 → 7,35652,10,373970
三連単,10 → 11 → 15,21072,1,370500
三連単,1 → 15 → 11,21079,4,366540
三連単,4 → 9 → 15,21082,1,364360
三連単,6 → 10 → 15,21076,1,362470
三連単,3 → 6 → 18,3100,1,362380
三連単,3 → 6 → 11,32469,14,357340
三連単,10 → 13 → 9,27755,1,355130
三連単,2 → 17 → 6,3827,1,348780
三連単,6 → 12 → 4,30504,4,346240
三連単,13 → 12 → 5,27752,2,346190
三連複,8 - 13 - 17,3927,1,344420
三連単,12 → 2 → 8,30499,4,337290
三連単,3 → 14 → 2,24774,7,336690
三連単,10 → 14 → 1,24767,2,335270
